authority_code,term,description,uri,sinonimi,weight
ITA,Italiano,,http://publications.europa.eu/resource/authority/language/ITA,"Italian
Italiano
IT
It",1
ENG,Inglese,,http://publications.europa.eu/resource/authority/language/ENG,"English
EN
Inglese
En",2
